a_image_id,b_image_id,lam,similarity
ISIC_0027216,ISIC_0025314,0.0945,0.9078
ISIC_0031002,ISIC_0024396,0.2625,0.842
ISIC_0024318,ISIC_0033005,0.241,0.7917
ISIC_0024386,ISIC_0025314,0.8311,0.8745
ISIC_0032941,ISIC_0028790,0.1793,0.8888
ISIC_0027118,ISIC_0024396,0.8746,0.862
ISIC_0024396,ISIC_0027008,0.3103,0.9311
ISIC_0034169,ISIC_0028790,0.9718,0.8484
ISIC_0028651,ISIC_0029177,0.1439,0.8775
ISIC_0033554,ISIC_0030870,0.2297,0.8703
ISIC_0026471,ISIC_0027141,0.6777,0.8113
ISIC_0033810,ISIC_0029039,0.5063,0.875
ISIC_0033256,ISIC_0033891,0.5811,0.7998
ISIC_0027216,ISIC_0027598,0.8041,0.9322
ISIC_0024330,ISIC_0025980,0.739,0.7909
ISIC_0032114,ISIC_0031257,0.1238,0.7908
ISIC_0029039,ISIC_0030870,0.3976,0.84
ISIC_0033891,ISIC_0031002,0.4886,0.9088
ISIC_0028735,ISIC_0027141,0.9556,0.7861
ISIC_0028735,ISIC_0031002,0.9248,0.8221
ISIC_0028651,ISIC_0025314,0.5552,0.8868
ISIC_0025594,ISIC_0027598,0.1059,0.8824
ISIC_0030870,ISIC_0031257,0.4191,0.9014
ISIC_0024318,ISIC_0033005,0.596,0.7917
ISIC_0025668,ISIC_0027745,0.8044,0.8037
ISIC_0027598,ISIC_0030870,0.7848,0.8886
ISIC_0032247,ISIC_0030870,0.1091,0.8488
ISIC_0026473,ISIC_0032247,0.7968,0.7715
ISIC_0027727,ISIC_0026473,0.5308,0.8387
ISIC_0031309,ISIC_0027141,0.8677,0.777
ISIC_0031257,ISIC_0029130,0.4126,0.8923
ISIC_0025373,ISIC_0027598,0.4259,0.8757
ISIC_0025373,ISIC_0025594,0.8675,0.8733
ISIC_0026471,ISIC_0025668,0.2478,0.8002
ISIC_0026471,ISIC_0026417,0.746,0.8054
ISIC_0032138,ISIC_0027008,0.1053,0.8966
ISIC_0032613,ISIC_0025594,0.5944,0.837
ISIC_0027107,ISIC_0029824,0.8247,0.8249
ISIC_0026789,ISIC_0027648,0.1439,0.8732
ISIC_0033005,ISIC_0034169,0.1655,0.8357
ISIC_0025622,ISIC_0033810,0.1536,0.835
ISIC_0027727,ISIC_0026789,0.0211,0.8908
ISIC_0030830,ISIC_0026629,0.1746,0.8785
ISIC_0032138,ISIC_0025302,0.5911,0.9182
ISIC_0028735,ISIC_0027141,0.3936,0.7861
ISIC_0032114,ISIC_0030870,0.5045,0.7903
ISIC_0031002,ISIC_0033554,0.8511,0.8328
ISIC_0028880,ISIC_0031257,0.1815,0.7605
ISIC_0032941,ISIC_0030015,0.2494,0.8526
ISIC_0029824,ISIC_0033810,0.4163,0.826
ISIC_0026473,ISIC_0027727,0.3736,0.8387
ISIC_0033256,ISIC_0034169,0.1017,0.8075
ISIC_0025302,ISIC_0027008,0.052,0.8572
ISIC_0027188,ISIC_0031002,0.0991,0.7828
ISIC_0032138,ISIC_0027008,0.9027,0.8966
ISIC_0026254,ISIC_0033554,0.802,0.8267
ISIC_0029052,ISIC_0025314,0.6425,0.869
ISIC_0029177,ISIC_0028651,0.1346,0.8775
ISIC_0032114,ISIC_0025504,0.5142,0.7773
ISIC_0033810,ISIC_0028346,0.4628,0.8524
ISIC_0031344,ISIC_0032138,0.6396,0.8813
ISIC_0026254,ISIC_0025314,0.1398,0.8481
ISIC_0027598,ISIC_0030870,0.4169,0.8886
ISIC_0029130,ISIC_0025314,0.3675,0.9034
ISIC_0028651,ISIC_0027216,0.3275,0.8798
ISIC_0027598,ISIC_0029177,0.6857,0.906
ISIC_0025980,ISIC_0027141,0.9489,0.8665
ISIC_0030021,ISIC_0033005,0.4809,0.857
ISIC_0031309,ISIC_0031002,0.5354,0.8179
ISIC_0033810,ISIC_0028346,0.6526,0.8524
ISIC_0025903,ISIC_0025980,0.5327,0.7672
ISIC_0031309,ISIC_0027141,0.2882,0.777
ISIC_0025668,ISIC_0025903,0.2024,0.8038
ISIC_0029130,ISIC_0029052,0.8607,0.892
ISIC_0033256,ISIC_0030015,0.6144,0.8176
ISIC_0029824,ISIC_0032138,0.7257,0.8288
ISIC_0029052,ISIC_0025594,0.9359,0.9174
ISIC_0030870,ISIC_0031257,0.9589,0.9014
ISIC_0025668,ISIC_0027745,0.5937,0.8037
ISIC_0027648,ISIC_0025622,0.7951,0.805
ISIC_0033554,ISIC_0025154,0.2534,0.8433
ISIC_0030870,ISIC_0027598,0.095,0.8886
ISIC_0028735,ISIC_0027141,0.1713,0.7861
ISIC_0025504,ISIC_0028346,0.5724,0.8461
ISIC_0027745,ISIC_0025314,0.5226,0.8468
ISIC_0030870,ISIC_0032138,0.7992,0.8818
ISIC_0028735,ISIC_0031309,0.5996,0.7863
ISIC_0025504,ISIC_0032138,0.1197,0.8352
ISIC_0031344,ISIC_0025154,0.0877,0.8912
ISIC_0028346,ISIC_0030870,0.4186,0.8623
ISIC_0033256,ISIC_0033891,0.6712,0.7998
ISIC_0030870,ISIC_0027216,0.8984,0.8964
ISIC_0032114,ISIC_0029039,0.2705,0.7756
ISIC_0031429,ISIC_0027727,0.3144,0.7931
ISIC_0026789,ISIC_0027727,0.1478,0.8908
ISIC_0025302,ISIC_0027008,0.4379,0.8572
ISIC_0031002,ISIC_0030021,0.7297,0.8985
ISIC_0025668,ISIC_0028651,0.9361,0.8245
ISIC_0027107,ISIC_0026789,0.4794,0.7706
ISIC_0025504,ISIC_0027598,0.9866,0.8483
ISIC_0024318,ISIC_0032138,0.9512,0.8106
ISIC_0027598,ISIC_0027216,0.8505,0.9322
ISIC_0032613,ISIC_0032941,0.1219,0.8084
ISIC_0027745,ISIC_0025314,0.6861,0.8468
ISIC_0028880,ISIC_0031257,0.4543,0.7605
ISIC_0030870,ISIC_0029130,0.2954,0.8771
ISIC_0033810,ISIC_0031344,0.4423,0.8541
ISIC_0024318,ISIC_0025771,0.9184,0.8305
ISIC_0031002,ISIC_0024396,0.1106,0.842
ISIC_0027141,ISIC_0026417,0.8792,0.8113
ISIC_0030321,ISIC_0028926,0.8369,0.817
ISIC_0024396,ISIC_0027008,0.9991,0.9311
ISIC_0024330,ISIC_0025980,0.6501,0.7909
ISIC_0029297,ISIC_0030870,0.897,0.8765
ISIC_0032410,ISIC_0028790,0.2408,0.7339
ISIC_0027727,ISIC_0026789,0.7768,0.8908
ISIC_0031799,ISIC_0029130,0.9106,0.9576
ISIC_0026473,ISIC_0025622,0.0362,0.7866
ISIC_0024318,ISIC_0030021,0.0517,0.8387
ISIC_0032114,ISIC_0029039,0.8015,0.7756
ISIC_0033810,ISIC_0032138,0.8494,0.8567
ISIC_0026254,ISIC_0025911,0.801,0.8701
ISIC_0033810,ISIC_0028346,0.7721,0.8524
ISIC_0032247,ISIC_0028790,0.838,0.808
ISIC_0027648,ISIC_0026789,0.2018,0.8732
ISIC_0025373,ISIC_0025771,0.5045,0.9337
ISIC_0028880,ISIC_0024386,0.63,0.7447
ISIC_0025302,ISIC_0027008,0.1552,0.8572
ISIC_0031799,ISIC_0025594,0.193,0.8856
ISIC_0024330,ISIC_0032138,0.7099,0.811
ISIC_0028790,ISIC_0034169,0.6115,0.8484
ISIC_0028735,ISIC_0024330,0.6163,0.8509
ISIC_0024318,ISIC_0030021,0.8841,0.8387
ISIC_0027727,ISIC_0028926,0.1731,0.8229
ISIC_0027118,ISIC_0033891,0.1835,0.8722
ISIC_0027118,ISIC_0027008,0.4586,0.8426
ISIC_0028880,ISIC_0024386,0.6364,0.7447
ISIC_0032410,ISIC_0034169,0.1451,0.6919
ISIC_0026254,ISIC_0033554,0.3013,0.8267
ISIC_0027216,ISIC_0025594,0.6998,0.9011
ISIC_0026417,ISIC_0027745,0.9406,0.7763
ISIC_0025622,ISIC_0030321,0.5084,0.8383
ISIC_0030665,ISIC_0027745,0.4742,0.8285
ISIC_0025504,ISIC_0025594,0.1341,0.8585
ISIC_0033695,ISIC_0029297,0.3047,0.8483
ISIC_0029177,ISIC_0025314,0.611,0.8792
ISIC_0027188,ISIC_0028735,0.4118,0.7854
ISIC_0025594,ISIC_0031799,0.2176,0.8856
ISIC_0033695,ISIC_0025314,0.317,0.8465
ISIC_0033256,ISIC_0030015,0.4184,0.8176
ISIC_0027745,ISIC_0025314,0.2256,0.8468
ISIC_0025302,ISIC_0025154,0.5658,0.8952
ISIC_0029052,ISIC_0025314,0.6479,0.869
ISIC_0029052,ISIC_0025314,0.3162,0.869
ISIC_0026254,ISIC_0031257,0.5491,0.83
ISIC_0025771,ISIC_0030870,0.626,0.8726
ISIC_0028790,ISIC_0030015,0.5127,0.879
ISIC_0031799,ISIC_0025594,0.8864,0.8856
ISIC_0025504,ISIC_0032138,0.5036,0.8352
ISIC_0031002,ISIC_0027118,0.7999,0.866
ISIC_0026254,ISIC_0025314,0.8374,0.8481
ISIC_0027141,ISIC_0027745,0.1159,0.8338
ISIC_0024396,ISIC_0027008,0.842,0.9311
ISIC_0032114,ISIC_0031257,0.2806,0.7908
ISIC_0029039,ISIC_0032138,0.173,0.8594
ISIC_0030870,ISIC_0027216,0.7427,0.8964
ISIC_0033005,ISIC_0030021,0.8272,0.857
ISIC_0030830,ISIC_0025314,0.3723,0.8507
ISIC_0030830,ISIC_0026629,0.6008,0.8785
ISIC_0030021,ISIC_0024396,0.3649,0.9247
ISIC_0028651,ISIC_0027745,0.9955,0.8617
ISIC_0027648,ISIC_0025622,0.311,0.805
ISIC_0031309,ISIC_0027141,0.7054,0.777
ISIC_0031257,ISIC_0030870,0.6409,0.9014
ISIC_0027008,ISIC_0024396,0.2091,0.9311
ISIC_0031257,ISIC_0027216,0.1638,0.8924
ISIC_0030830,ISIC_0026629,0.8363,0.8785
ISIC_0033256,ISIC_0032941,0.556,0.7975
ISIC_0025903,ISIC_0025980,0.9903,0.7672
ISIC_0030015,ISIC_0033891,0.4482,0.9093
ISIC_0032138,ISIC_0025154,0.08,0.9082
ISIC_0032138,ISIC_0025771,0.4338,0.8973
ISIC_0028346,ISIC_0025771,0.1507,0.8664
ISIC_0026629,ISIC_0027216,0.9071,0.8986
ISIC_0033554,ISIC_0030870,0.2329,0.8703
ISIC_0025771,ISIC_0032138,0.4902,0.8973
ISIC_0034169,ISIC_0028926,0.4933,0.8646
ISIC_0024318,ISIC_0030021,0.2437,0.8387
ISIC_0032138,ISIC_0027008,0.6376,0.8966
ISIC_0028926,ISIC_0027008,0.6702,0.872
ISIC_0031429,ISIC_0031257,0.0581,0.7778
ISIC_0030870,ISIC_0027216,0.5395,0.8964
ISIC_0032613,ISIC_0025373,0.8445,0.8274
ISIC_0027008,ISIC_0030015,0.7686,0.8921
ISIC_0030321,ISIC_0033554,0.5048,0.8018
ISIC_0027598,ISIC_0025594,0.5871,0.8824
ISIC_0025373,ISIC_0030870,0.3406,0.8722
ISIC_0029052,ISIC_0029130,0.5314,0.892
ISIC_0028735,ISIC_0024330,0.3986,0.8509
ISIC_0034169,ISIC_0033891,0.6308,0.84
ISIC_0027141,ISIC_0025980,0.3389,0.8665
ISIC_0026789,ISIC_0027727,0.0248,0.8908
ISIC_0029177,ISIC_0025373,0.4482,0.8545
ISIC_0027216,ISIC_0025314,0.5985,0.9078
ISIC_0029039,ISIC_0033810,0.278,0.875
ISIC_0025668,ISIC_0025903,0.6338,0.8038
ISIC_0030830,ISIC_0025314,0.6204,0.8507
ISIC_0032613,ISIC_0028790,0.7614,0.8094
ISIC_0030015,ISIC_0024396,0.7207,0.8527
ISIC_0026473,ISIC_0032247,0.782,0.7715
ISIC_0027727,ISIC_0029824,0.1141,0.8198
ISIC_0028735,ISIC_0027141,0.4401,0.7861
ISIC_0030015,ISIC_0027008,0.6541,0.8921
ISIC_0027216,ISIC_0030870,0.9846,0.8964
ISIC_0025594,ISIC_0027216,0.7338,0.9011
ISIC_0033810,ISIC_0025154,0.3465,0.8528
ISIC_0024318,ISIC_0030021,0.0409,0.8387
ISIC_0028735,ISIC_0027141,0.4897,0.7861
ISIC_0032613,ISIC_0026629,0.465,0.8074
ISIC_0027008,ISIC_0028926,0.4116,0.872
ISIC_0025154,ISIC_0028346,0.0848,0.892
ISIC_0025911,ISIC_0029297,0.8021,0.8592
ISIC_0026417,ISIC_0025980,0.8226,0.7577
ISIC_0025980,ISIC_0027745,0.3727,0.8781
ISIC_0033695,ISIC_0025911,0.1093,0.862
ISIC_0033554,ISIC_0031344,0.7133,0.8437
ISIC_0030015,ISIC_0028790,0.8655,0.879
ISIC_0031002,ISIC_0024396,0.8009,0.842
ISIC_0027141,ISIC_0025980,0.2345,0.8665
ISIC_0025314,ISIC_0031799,0.8581,0.8903
ISIC_0027648,ISIC_0026789,0.5146,0.8732
ISIC_0026417,ISIC_0027745,0.0296,0.7763
ISIC_0031257,ISIC_0027216,0.8956,0.8924
ISIC_0029177,ISIC_0028651,0.2377,0.8775
ISIC_0027216,ISIC_0030870,0.348,0.8964
ISIC_0031344,ISIC_0025771,0.2989,0.8576
ISIC_0030830,ISIC_0027598,0.3969,0.8619
ISIC_0025373,ISIC_0027598,0.8866,0.8757
ISIC_0032410,ISIC_0028790,0.0848,0.7339
ISIC_0030021,ISIC_0031002,0.7176,0.8985
ISIC_0027598,ISIC_0025594,0.9987,0.8824
ISIC_0029824,ISIC_0028926,0.4079,0.8266
ISIC_0028790,ISIC_0032941,0.5749,0.8888
ISIC_0025771,ISIC_0028346,0.7009,0.8664
ISIC_0031002,ISIC_0027118,0.3924,0.866
ISIC_0028651,ISIC_0027745,0.4969,0.8617
ISIC_0027044,ISIC_0028651,0.3654,0.8511
ISIC_0025154,ISIC_0032138,0.202,0.9082
ISIC_0028926,ISIC_0025302,0.4533,0.9305
ISIC_0033810,ISIC_0025154,0.3433,0.8528
ISIC_0027648,ISIC_0029824,0.9592,0.8096
ISIC_0033810,ISIC_0025154,0.5409,0.8528
ISIC_0033891,ISIC_0031002,0.897,0.9088
ISIC_0027141,ISIC_0025668,0.3253,0.8474
ISIC_0032941,ISIC_0025771,0.5295,0.8231
ISIC_0033891,ISIC_0027118,0.5907,0.8722
ISIC_0029297,ISIC_0025911,0.2994,0.8592
ISIC_0032247,ISIC_0032138,0.3225,0.8262
ISIC_0025668,ISIC_0025980,0.8743,0.85
ISIC_0024318,ISIC_0025771,0.5615,0.8305
ISIC_0026254,ISIC_0031257,0.7838,0.83
ISIC_0029824,ISIC_0033810,0.4763,0.826
ISIC_0033695,ISIC_0026254,0.6746,0.8157
ISIC_0026417,ISIC_0025980,0.9026,0.7577
ISIC_0026417,ISIC_0027745,0.1852,0.7763
ISIC_0025668,ISIC_0028651,0.1019,0.8245
ISIC_0027598,ISIC_0025314,0.9553,0.8848
ISIC_0031344,ISIC_0030870,0.433,0.8639
ISIC_0025504,ISIC_0025594,0.9598,0.8585
ISIC_0031002,ISIC_0033891,0.0411,0.9088
ISIC_0024396,ISIC_0030021,0.0655,0.9247
ISIC_0033891,ISIC_0030021,0.5161,0.8755
ISIC_0031429,ISIC_0027727,0.051,0.7931
ISIC_0032247,ISIC_0030870,0.3845,0.8488
ISIC_0031344,ISIC_0025154,0.6982,0.8912
ISIC_0027648,ISIC_0026473,0.3021,0.8287
ISIC_0028346,ISIC_0025154,0.4166,0.892
ISIC_0025594,ISIC_0029052,0.1121,0.9174
ISIC_0027216,ISIC_0030870,0.0012,0.8964
ISIC_0025314,ISIC_0029130,0.4895,0.9034
ISIC_0024386,ISIC_0028651,0.4313,0.849
ISIC_0028926,ISIC_0027008,0.8412,0.872
ISIC_0028790,ISIC_0030015,0.3225,0.879
ISIC_0029130,ISIC_0025314,0.4799,0.9034
ISIC_0032410,ISIC_0026254,0.2283,0.6887
ISIC_0031002,ISIC_0030021,0.9304,0.8985
ISIC_0028346,ISIC_0032138,0.4608,0.8962
ISIC_0032410,ISIC_0026254,0.1505,0.6887
ISIC_0029130,ISIC_0031799,0.1382,0.9576
ISIC_0024330,ISIC_0028790,0.0093,0.7832
ISIC_0033554,ISIC_0030870,0.0313,0.8703
ISIC_0025594,ISIC_0029052,0.6201,0.9174
ISIC_0027745,ISIC_0028651,0.5692,0.8617
ISIC_0025980,ISIC_0030870,0.8494,0.8612
ISIC_0028651,ISIC_0025314,0.8534,0.8868
ISIC_0028790,ISIC_0025771,0.1627,0.8538
ISIC_0032941,ISIC_0028926,0.8555,0.8323
ISIC_0026473,ISIC_0027648,0.9188,0.8287
ISIC_0028926,ISIC_0025154,0.6034,0.8973
ISIC_0033005,ISIC_0034169,0.3615,0.8357
ISIC_0031002,ISIC_0033554,0.3184,0.8328
ISIC_0028880,ISIC_0024386,0.6007,0.7447
ISIC_0026629,ISIC_0030830,0.414,0.8785
ISIC_0029824,ISIC_0028926,0.0781,0.8266
ISIC_0032410,ISIC_0028790,0.3465,0.7339
ISIC_0027141,ISIC_0025980,0.1655,0.8665
ISIC_0030015,ISIC_0028790,0.7081,0.879
ISIC_0026629,ISIC_0027598,0.3172,0.8765
ISIC_0025373,ISIC_0030870,0.5938,0.8722
ISIC_0025980,ISIC_0027745,0.1437,0.8781
ISIC_0030021,ISIC_0027008,0.1729,0.8663
ISIC_0031429,ISIC_0026789,0.9918,0.7921
ISIC_0026417,ISIC_0027141,0.0166,0.8113
ISIC_0028926,ISIC_0034169,0.5846,0.8646
ISIC_0027141,ISIC_0025980,0.8973,0.8665
ISIC_0025302,ISIC_0027008,0.5362,0.8572
ISIC_0025622,ISIC_0030015,0.2732,0.8291
ISIC_0030870,ISIC_0031257,0.5946,0.9014
ISIC_0025504,ISIC_0027598,0.6636,0.8483
ISIC_0033891,ISIC_0027008,0.0182,0.8548
ISIC_0024396,ISIC_0032138,0.2313,0.8747
ISIC_0032247,ISIC_0031344,0.2537,0.807
ISIC_0029177,ISIC_0028651,0.5535,0.8775
ISIC_0028790,ISIC_0030015,0.6776,0.879
ISIC_0028790,ISIC_0025771,0.5669,0.8538
ISIC_0026471,ISIC_0025903,0.9834,0.7889
ISIC_0025594,ISIC_0031799,0.5146,0.8856
ISIC_0033554,ISIC_0030870,0.796,0.8703
ISIC_0027107,ISIC_0025622,0.408,0.7815
ISIC_0033554,ISIC_0030870,0.8897,0.8703
ISIC_0030015,ISIC_0034169,0.6826,0.8938
ISIC_0027745,ISIC_0025980,0.9615,0.8781
ISIC_0026417,ISIC_0027141,0.1995,0.8113
ISIC_0033256,ISIC_0032941,0.9126,0.7975
ISIC_0026254,ISIC_0025314,0.4698,0.8481
ISIC_0032613,ISIC_0032941,0.8784,0.8084
ISIC_0029824,ISIC_0028926,0.517,0.8266
ISIC_0025302,ISIC_0031344,0.7311,0.8618
ISIC_0028790,ISIC_0025771,0.5699,0.8538
ISIC_0027648,ISIC_0026789,0.904,0.8732
ISIC_0030665,ISIC_0027044,0.7981,0.8147
ISIC_0028651,ISIC_0025314,0.2044,0.8868
ISIC_0027598,ISIC_0025314,0.0231,0.8848
ISIC_0025903,ISIC_0025980,0.3771,0.7672
ISIC_0031799,ISIC_0025594,0.8876,0.8856
ISIC_0029297,ISIC_0031257,0.3191,0.8746
ISIC_0027044,ISIC_0033695,0.581,0.7908
ISIC_0027141,ISIC_0027745,0.6018,0.8338
ISIC_0029039,ISIC_0030870,0.4676,0.84
ISIC_0024553,ISIC_0025903,0.3772,0.8403
ISIC_0027107,ISIC_0029039,0.1311,0.7841
ISIC_0027008,ISIC_0024396,0.6846,0.9311
ISIC_0024396,ISIC_0030021,0.9549,0.9247
ISIC_0030870,ISIC_0027216,0.0989,0.8964
ISIC_0027745,ISIC_0031257,0.881,0.8399
ISIC_0027044,ISIC_0030665,0.2021,0.8147
ISIC_0033891,ISIC_0030015,0.522,0.9093
ISIC_0024553,ISIC_0027745,0.2594,0.8174
ISIC_0025504,ISIC_0025594,0.4815,0.8585
ISIC_0025302,ISIC_0027008,0.6525,0.8572
ISIC_0030021,ISIC_0033891,0.1107,0.8755
ISIC_0025980,ISIC_0027141,0.2948,0.8665
ISIC_0026789,ISIC_0025622,0.8767,0.8145
ISIC_0031309,ISIC_0025668,0.9846,0.7712
ISIC_0029177,ISIC_0025373,0.953,0.8545
ISIC_0029052,ISIC_0025594,0.1378,0.9174
ISIC_0033554,ISIC_0032138,0.5529,0.8512
ISIC_0027598,ISIC_0027216,0.8458,0.9322
ISIC_0031002,ISIC_0024396,0.5424,0.842
ISIC_0028735,ISIC_0024330,0.2533,0.8509
ISIC_0027727,ISIC_0026789,0.8519,0.8908
ISIC_0027118,ISIC_0024396,0.7351,0.862
ISIC_0031002,ISIC_0030021,0.3713,0.8985
ISIC_0032138,ISIC_0028926,0.76,0.8984
ISIC_0024386,ISIC_0030665,0.2068,0.8439
ISIC_0029130,ISIC_0030870,0.1207,0.8771
ISIC_0025980,ISIC_0025668,0.1004,0.85
ISIC_0027141,ISIC_0025668,0.8465,0.8474
ISIC_0029177,ISIC_0027598,0.4136,0.906
ISIC_0024553,ISIC_0027745,0.2453,0.8174
ISIC_0032613,ISIC_0032941,0.8513,0.8084
ISIC_0029039,ISIC_0030870,0.3393,0.84
ISIC_0028790,ISIC_0032138,0.2484,0.8699
ISIC_0027008,ISIC_0032138,0.1613,0.8966
ISIC_0024386,ISIC_0031257,0.888,0.8354
ISIC_0024318,ISIC_0032138,0.5177,0.8106
ISIC_0026473,ISIC_0028926,0.5297,0.7936
ISIC_0027141,ISIC_0027745,0.4346,0.8338
ISIC_0027107,ISIC_0029824,0.1257,0.8249
ISIC_0025668,ISIC_0027745,0.482,0.8037
ISIC_0032138,ISIC_0027008,0.1636,0.8966
ISIC_0027118,ISIC_0024396,0.2077,0.862
ISIC_0025622,ISIC_0033810,0.0301,0.835
ISIC_0027118,ISIC_0033891,0.9168,0.8722
ISIC_0024318,ISIC_0025771,0.6081,0.8305
ISIC_0025154,ISIC_0025302,0.4005,0.8952
ISIC_0028790,ISIC_0032138,0.1872,0.8699
ISIC_0032138,ISIC_0027008,0.8183,0.8966
ISIC_0032114,ISIC_0029039,0.4688,0.7756
ISIC_0032138,ISIC_0025302,0.9207,0.9182
ISIC_0030321,ISIC_0028926,0.0501,0.817
ISIC_0033554,ISIC_0032138,0.7945,0.8512
ISIC_0030015,ISIC_0028790,0.7508,0.879
ISIC_0029824,ISIC_0027107,0.212,0.8249
ISIC_0025903,ISIC_0025980,0.438,0.7672
ISIC_0026473,ISIC_0025622,0.0023,0.7866
ISIC_0028926,ISIC_0034169,0.2809,0.8646
