a_image_id,b_image_id,lam,similarity
ISIC_0026393,ISIC_0025628,0.4907,0.915
ISIC_0028406,ISIC_0029099,0.5717,0.8916
ISIC_0030283,ISIC_0025628,0.267,0.9036
ISIC_0033608,ISIC_0031648,0.5207,0.8496
ISIC_0032919,ISIC_0029514,0.0216,0.8933
ISIC_0027563,ISIC_0024375,0.8962,0.8804
ISIC_0030283,ISIC_0026393,0.554,0.9245
ISIC_0027159,ISIC_0032545,0.6722,0.8545
ISIC_0025321,ISIC_0033844,0.6594,0.8666
ISIC_0032240,ISIC_0027522,0.7686,0.8793
ISIC_0027159,ISIC_0032545,0.916,0.8545
ISIC_0033844,ISIC_0031759,0.0374,0.8621
ISIC_0025452,ISIC_0025628,0.3709,0.9056
ISIC_0026713,ISIC_0032715,0.8083,0.8478
ISIC_0033817,ISIC_0029889,0.9529,0.9071
ISIC_0031270,ISIC_0031346,0.5151,0.8678
ISIC_0033254,ISIC_0032866,0.936,0.8637
ISIC_0025680,ISIC_0026068,0.0449,0.9362
ISIC_0026467,ISIC_0024475,0.9924,0.8574
ISIC_0025596,ISIC_0025628,0.7486,0.8942
ISIC_0032890,ISIC_0032076,0.8934,0.8567
ISIC_0025321,ISIC_0028714,0.3159,0.8656
ISIC_0024402,ISIC_0029514,0.6617,0.8101
ISIC_0027888,ISIC_0026336,0.0945,0.8773
ISIC_0032240,ISIC_0027522,0.2625,0.8793
ISIC_0024370,ISIC_0026092,0.241,0.8379
ISIC_0024475,ISIC_0026467,0.8311,0.8574
ISIC_0033158,ISIC_0027210,0.1793,0.9096
ISIC_0027563,ISIC_0024867,0.8746,0.8886
ISIC_0024662,ISIC_0027256,0.3103,0.8581
ISIC_0033991,ISIC_0024706,0.9718,0.8729
ISIC_0029448,ISIC_0033254,0.1439,0.8254
ISIC_0033565,ISIC_0032076,0.2297,0.8357
ISIC_0026393,ISIC_0030283,0.6777,0.9245
ISIC_0033817,ISIC_0027210,0.5063,0.9196
ISIC_0033450,ISIC_0033135,0.5811,0.8636
ISIC_0027903,ISIC_0033991,0.8041,0.8125
ISIC_0024402,ISIC_0029514,0.739,0.8101
ISIC_0032866,ISIC_0032890,0.1238,0.8685
ISIC_0030882,ISIC_0028431,0.3976,0.7949
ISIC_0033844,ISIC_0031759,0.4886,0.8621
ISIC_0029514,ISIC_0033817,0.9556,0.8732
ISIC_0029608,ISIC_0031197,0.9248,0.9191
ISIC_0029448,ISIC_0025924,0.5552,0.8445
ISIC_0025578,ISIC_0024904,0.1059,0.8234
ISIC_0032076,ISIC_0027563,0.4191,0.8709
ISIC_0024370,ISIC_0026092,0.596,0.8379
ISIC_0025680,ISIC_0024706,0.8044,0.9089
ISIC_0028188,ISIC_0033158,0.7848,0.8686
ISIC_0032890,ISIC_0032839,0.1091,0.9009
ISIC_0026456,ISIC_0032866,0.7968,0.7594
ISIC_0028680,ISIC_0026068,0.5308,0.8915
ISIC_0032538,ISIC_0030770,0.8677,0.8388
ISIC_0032409,ISIC_0025628,0.4126,0.8634
ISIC_0025321,ISIC_0033844,0.4259,0.8666
ISIC_0025321,ISIC_0032919,0.8675,0.8643
ISIC_0026393,ISIC_0025628,0.2478,0.915
ISIC_0026349,ISIC_0024370,0.746,0.8426
ISIC_0032890,ISIC_0032076,0.1053,0.8567
ISIC_0033135,ISIC_0030956,0.5944,0.8901
ISIC_0027522,ISIC_0033817,0.8247,0.8835
ISIC_0027159,ISIC_0033158,0.1439,0.8445
ISIC_0033349,ISIC_0028188,0.1655,0.8519
ISIC_0025596,ISIC_0025680,0.1536,0.9078
ISIC_0028680,ISIC_0025628,0.0211,0.8943
ISIC_0031996,ISIC_0032932,0.1746,0.8799
ISIC_0032867,ISIC_0025807,0.5911,0.8954
ISIC_0029608,ISIC_0031276,0.3936,0.911
ISIC_0032866,ISIC_0032839,0.5045,0.8658
ISIC_0032240,ISIC_0029889,0.8511,0.8708
ISIC_0030283,ISIC_0026393,0.1815,0.9245
ISIC_0033158,ISIC_0029889,0.2494,0.8896
ISIC_0031276,ISIC_0031103,0.4163,0.913
ISIC_0026393,ISIC_0030283,0.3736,0.9245
ISIC_0033450,ISIC_0033817,0.1017,0.8703
ISIC_0025249,ISIC_0025452,0.052,0.8417
ISIC_0027888,ISIC_0026068,0.0991,0.8527
ISIC_0032867,ISIC_0032919,0.9027,0.8342
ISIC_0026092,ISIC_0032545,0.802,0.8237
ISIC_0030956,ISIC_0033158,0.6425,0.8638
ISIC_0031215,ISIC_0025707,0.1346,0.8661
ISIC_0032866,ISIC_0033254,0.5142,0.8637
ISIC_0033817,ISIC_0027522,0.4628,0.8835
ISIC_0032614,ISIC_0029889,0.6396,0.8728
ISIC_0026163,ISIC_0033450,0.1398,0.839
ISIC_0028188,ISIC_0033158,0.4169,0.8686
ISIC_0031103,ISIC_0031276,0.3675,0.913
ISIC_0029514,ISIC_0030770,0.3275,0.8753
ISIC_0028188,ISIC_0033135,0.6857,0.8727
ISIC_0026092,ISIC_0024370,0.9489,0.8379
ISIC_0031706,ISIC_0024475,0.4809,0.7963
ISIC_0032545,ISIC_0033254,0.5354,0.8804
ISIC_0033817,ISIC_0027522,0.6526,0.8835
ISIC_0025873,ISIC_0024747,0.5327,0.8468
ISIC_0032538,ISIC_0030770,0.2882,0.8388
ISIC_0025680,ISIC_0025452,0.2024,0.9165
ISIC_0031103,ISIC_0026393,0.8607,0.8921
ISIC_0033349,ISIC_0033135,0.6144,0.8755
ISIC_0031270,ISIC_0032919,0.7257,0.8783
ISIC_0030956,ISIC_0033135,0.9359,0.8901
ISIC_0032076,ISIC_0027563,0.9589,0.8709
ISIC_0025628,ISIC_0026393,0.5937,0.915
ISIC_0028431,ISIC_0024475,0.7951,0.759
ISIC_0033565,ISIC_0033969,0.2534,0.8293
ISIC_0032076,ISIC_0027522,0.095,0.8589
ISIC_0029608,ISIC_0031276,0.1713,0.911
ISIC_0025425,ISIC_0031706,0.5724,0.8341
ISIC_0028885,ISIC_0026393,0.5226,0.8783
ISIC_0032240,ISIC_0027522,0.7992,0.8793
ISIC_0029608,ISIC_0031103,0.5996,0.914
ISIC_0025452,ISIC_0030283,0.1197,0.8901
ISIC_0032614,ISIC_0033135,0.0877,0.8798
ISIC_0029099,ISIC_0026393,0.4186,0.882
ISIC_0033450,ISIC_0033135,0.6712,0.8636
ISIC_0032240,ISIC_0027210,0.8984,0.8825
ISIC_0032839,ISIC_0027672,0.2705,0.8617
ISIC_0032692,ISIC_0032545,0.3144,0.8168
ISIC_0026713,ISIC_0027385,0.1478,0.8666
ISIC_0024904,ISIC_0028188,0.4379,0.8376
ISIC_0032270,ISIC_0032076,0.7297,0.8174
ISIC_0025680,ISIC_0025628,0.9361,0.9175
ISIC_0027522,ISIC_0026393,0.4794,0.869
ISIC_0025452,ISIC_0025680,0.9866,0.9165
ISIC_0024370,ISIC_0026349,0.9512,0.8426
ISIC_0027903,ISIC_0033991,0.8505,0.8125
ISIC_0033123,ISIC_0033158,0.1219,0.8822
ISIC_0028885,ISIC_0026393,0.6861,0.8783
ISIC_0030283,ISIC_0026393,0.4543,0.9245
ISIC_0032076,ISIC_0032890,0.2954,0.8567
ISIC_0033817,ISIC_0032240,0.4423,0.9038
ISIC_0024375,ISIC_0028406,0.9184,0.9069
ISIC_0032270,ISIC_0030956,0.1106,0.7968
ISIC_0027672,ISIC_0028885,0.8792,0.8582
ISIC_0031759,ISIC_0025321,0.8369,0.8913
ISIC_0024662,ISIC_0027256,0.9991,0.8581
ISIC_0024402,ISIC_0029514,0.6501,0.8101
ISIC_0031215,ISIC_0024867,0.897,0.8949
ISIC_0032932,ISIC_0032890,0.2408,0.8976
ISIC_0028431,ISIC_0030882,0.7768,0.7949
ISIC_0032839,ISIC_0032890,0.9106,0.9009
ISIC_0026456,ISIC_0033991,0.0362,0.7608
ISIC_0024370,ISIC_0024706,0.0517,0.8565
ISIC_0032866,ISIC_0026349,0.8015,0.8554
ISIC_0033817,ISIC_0029889,0.8494,0.9071
ISIC_0026163,ISIC_0033817,0.801,0.8421
ISIC_0033817,ISIC_0027522,0.7721,0.8835
ISIC_0032890,ISIC_0032866,0.838,0.8685
ISIC_0028431,ISIC_0030882,0.2018,0.7949
ISIC_0025321,ISIC_0031759,0.5045,0.8913
ISIC_0030283,ISIC_0025596,0.63,0.9029
ISIC_0024904,ISIC_0028188,0.1552,0.8376
ISIC_0032839,ISIC_0027672,0.193,0.8617
ISIC_0024375,ISIC_0028406,0.7099,0.9069
ISIC_0029608,ISIC_0026393,0.6115,0.9054
ISIC_0029514,ISIC_0032919,0.6163,0.8933
ISIC_0024370,ISIC_0024706,0.8841,0.8565
ISIC_0028680,ISIC_0025452,0.1731,0.8833
ISIC_0027563,ISIC_0028885,0.1835,0.9185
ISIC_0027665,ISIC_0031706,0.4586,0.8236
ISIC_0030283,ISIC_0025596,0.6364,0.9029
ISIC_0033123,ISIC_0033450,0.1451,0.8851
ISIC_0026163,ISIC_0026713,0.3013,0.8215
ISIC_0027903,ISIC_0033135,0.6998,0.8021
ISIC_0026336,ISIC_0032409,0.9406,0.8968
ISIC_0025596,ISIC_0031276,0.5084,0.9291
ISIC_0031950,ISIC_0031706,0.4742,0.7904
ISIC_0025425,ISIC_0026467,0.1341,0.8648
ISIC_0033591,ISIC_0031759,0.3047,0.8552
ISIC_0031197,ISIC_0025628,0.611,0.8886
ISIC_0027856,ISIC_0030770,0.4118,0.8382
ISIC_0025596,ISIC_0030283,0.2176,0.9029
ISIC_0033591,ISIC_0025321,0.317,0.855
ISIC_0033450,ISIC_0033123,0.4184,0.8851
ISIC_0028885,ISIC_0026393,0.2256,0.8783
ISIC_0025249,ISIC_0028406,0.5658,0.8563
ISIC_0031093,ISIC_0029514,0.6479,0.8746
ISIC_0031093,ISIC_0029514,0.3162,0.8746
ISIC_0026163,ISIC_0033135,0.5491,0.823
ISIC_0025807,ISIC_0032919,0.626,0.882
ISIC_0029889,ISIC_0027210,0.5127,0.92
ISIC_0032839,ISIC_0027672,0.8864,0.8617
ISIC_0025425,ISIC_0024475,0.5036,0.8067
ISIC_0032240,ISIC_0033158,0.7999,0.8813
ISIC_0026163,ISIC_0033450,0.8374,0.839
ISIC_0027672,ISIC_0032076,0.1159,0.8699
ISIC_0024706,ISIC_0025680,0.842,0.9089
ISIC_0032866,ISIC_0032890,0.2806,0.8685
ISIC_0030770,ISIC_0031346,0.173,0.9027
ISIC_0032240,ISIC_0027210,0.7427,0.8825
ISIC_0033254,ISIC_0032545,0.8272,0.8804
ISIC_0031955,ISIC_0024475,0.3723,0.7873
ISIC_0031996,ISIC_0032932,0.6008,0.8799
ISIC_0031706,ISIC_0025425,0.3649,0.8341
ISIC_0029448,ISIC_0032545,0.9955,0.8203
ISIC_0028431,ISIC_0024475,0.311,0.759
ISIC_0032545,ISIC_0032240,0.7054,0.8661
ISIC_0032409,ISIC_0029608,0.6409,0.8906
ISIC_0027256,ISIC_0029608,0.2091,0.8781
ISIC_0032409,ISIC_0032839,0.1638,0.8664
ISIC_0031996,ISIC_0032932,0.8363,0.8799
ISIC_0033450,ISIC_0033969,0.556,0.863
ISIC_0025807,ISIC_0029889,0.9903,0.8598
ISIC_0031346,ISIC_0031093,0.4482,0.9186
ISIC_0032890,ISIC_0032932,0.08,0.8976
ISIC_0032867,ISIC_0029889,0.4338,0.8415
ISIC_0028885,ISIC_0026393,0.1507,0.8783
ISIC_0026713,ISIC_0027385,0.9071,0.8666
ISIC_0033591,ISIC_0033450,0.2329,0.8578
ISIC_0025807,ISIC_0033817,0.4902,0.891
ISIC_0033991,ISIC_0024867,0.4933,0.8811
ISIC_0024375,ISIC_0029099,0.2437,0.9232
ISIC_0032890,ISIC_0032076,0.6376,0.8567
ISIC_0030770,ISIC_0033817,0.6702,0.8787
ISIC_0032692,ISIC_0031996,0.0581,0.8082
ISIC_0032076,ISIC_0027672,0.5395,0.8699
ISIC_0033135,ISIC_0032614,0.8445,0.8798
ISIC_0027210,ISIC_0033158,0.7686,0.9096
ISIC_0031950,ISIC_0026092,0.5048,0.7767
ISIC_0028188,ISIC_0033844,0.5871,0.8611
ISIC_0025321,ISIC_0033123,0.3406,0.8595
ISIC_0030956,ISIC_0032614,0.5314,0.865
ISIC_0029608,ISIC_0025628,0.3986,0.9226
ISIC_0033991,ISIC_0031276,0.6308,0.87
ISIC_0027672,ISIC_0027563,0.3389,0.8959
ISIC_0027159,ISIC_0032545,0.0248,0.8545
ISIC_0031197,ISIC_0031276,0.4482,0.8663
ISIC_0027903,ISIC_0032839,0.5985,0.8039
ISIC_0030882,ISIC_0024475,0.278,0.8342
ISIC_0025628,ISIC_0025680,0.6338,0.9175
ISIC_0031996,ISIC_0026092,0.6204,0.824
ISIC_0033135,ISIC_0033158,0.7614,0.8776
ISIC_0031346,ISIC_0033817,0.7207,0.8716
ISIC_0026456,ISIC_0032866,0.782,0.7594
ISIC_0028680,ISIC_0029608,0.1141,0.883
ISIC_0029514,ISIC_0033817,0.4401,0.8732
ISIC_0031346,ISIC_0027856,0.6541,0.8875
ISIC_0027903,ISIC_0032866,0.9846,0.7961
ISIC_0025596,ISIC_0025680,0.7338,0.9078
ISIC_0033844,ISIC_0027522,0.3465,0.8578
ISIC_0024370,ISIC_0024706,0.0409,0.8565
ISIC_0029514,ISIC_0033817,0.4897,0.8732
ISIC_0033123,ISIC_0029889,0.465,0.8804
ISIC_0027210,ISIC_0031759,0.4116,0.8795
ISIC_0024867,ISIC_0028885,0.0848,0.8941
ISIC_0025924,ISIC_0025873,0.8021,0.8623
ISIC_0026349,ISIC_0032545,0.8226,0.8233
ISIC_0026092,ISIC_0031197,0.3727,0.8493
ISIC_0033608,ISIC_0032545,0.1093,0.8598
ISIC_0033565,ISIC_0025578,0.7133,0.8302
ISIC_0031648,ISIC_0033254,0.8655,0.8267
ISIC_0032270,ISIC_0030956,0.8009,0.7968
ISIC_0027665,ISIC_0026467,0.2345,0.8946
ISIC_0025250,ISIC_0029099,0.8581,0.7018
ISIC_0028406,ISIC_0024867,0.5146,0.9073
ISIC_0026349,ISIC_0024662,0.0296,0.8275
ISIC_0032538,ISIC_0029889,0.8956,0.848
ISIC_0031197,ISIC_0026068,0.2377,0.8768
ISIC_0027903,ISIC_0032866,0.348,0.7961
ISIC_0032614,ISIC_0030956,0.2989,0.865
ISIC_0031996,ISIC_0031197,0.3969,0.8323
ISIC_0025321,ISIC_0033844,0.8866,0.8666
ISIC_0032932,ISIC_0032890,0.0848,0.8976
ISIC_0031706,ISIC_0026467,0.7176,0.8325
ISIC_0028188,ISIC_0033844,0.9987,0.8611
ISIC_0031276,ISIC_0025680,0.4079,0.9218
ISIC_0029889,ISIC_0030770,0.5749,0.9361
ISIC_0025707,ISIC_0030283,0.7009,0.8542
ISIC_0032240,ISIC_0033158,0.3924,0.8813
ISIC_0029448,ISIC_0032545,0.4969,0.8203
ISIC_0027385,ISIC_0026713,0.3654,0.8666
ISIC_0024904,ISIC_0031197,0.202,0.8496
ISIC_0030722,ISIC_0027672,0.4533,0.8216
ISIC_0033817,ISIC_0025807,0.3433,0.891
ISIC_0028431,ISIC_0025425,0.9592,0.7881
ISIC_0033817,ISIC_0025807,0.5409,0.891
ISIC_0033969,ISIC_0033450,0.897,0.863
ISIC_0027672,ISIC_0024747,0.3253,0.8895
ISIC_0033158,ISIC_0032240,0.5295,0.8813
ISIC_0033969,ISIC_0032545,0.5907,0.8598
ISIC_0031215,ISIC_0025707,0.2994,0.8661
ISIC_0032919,ISIC_0033123,0.3225,0.8958
ISIC_0025680,ISIC_0026068,0.8743,0.9362
ISIC_0024370,ISIC_0031197,0.5615,0.8541
ISIC_0026163,ISIC_0033135,0.7838,0.823
ISIC_0031270,ISIC_0033123,0.4763,0.8577
ISIC_0033608,ISIC_0033123,0.6746,0.8328
ISIC_0026336,ISIC_0033991,0.9026,0.8954
ISIC_0026349,ISIC_0024662,0.1852,0.8275
ISIC_0025628,ISIC_0029608,0.1019,0.9226
ISIC_0028188,ISIC_0032240,0.9553,0.8662
ISIC_0032614,ISIC_0033158,0.433,0.8694
ISIC_0025452,ISIC_0026068,0.9598,0.936
ISIC_0032270,ISIC_0028188,0.0411,0.8175
ISIC_0024706,ISIC_0026068,0.0655,0.8962
ISIC_0033969,ISIC_0033158,0.5161,0.8601
ISIC_0032692,ISIC_0032545,0.051,0.8168
ISIC_0032919,ISIC_0029889,0.3845,0.9001
ISIC_0032545,ISIC_0028188,0.6982,0.8932
ISIC_0028431,ISIC_0027665,0.3021,0.7936
ISIC_0029099,ISIC_0028406,0.4166,0.8916
ISIC_0025578,ISIC_0032076,0.1121,0.8335
ISIC_0027903,ISIC_0032866,0.0012,0.7961
ISIC_0025250,ISIC_0024904,0.4895,0.7026
ISIC_0024402,ISIC_0026336,0.4313,0.8436
ISIC_0030722,ISIC_0033254,0.8412,0.7964
ISIC_0029889,ISIC_0027210,0.3225,0.92
ISIC_0031103,ISIC_0031276,0.4799,0.913
ISIC_0032932,ISIC_0032866,0.2283,0.8481
ISIC_0032270,ISIC_0032076,0.9304,0.8174
ISIC_0028885,ISIC_0027563,0.4608,0.9185
ISIC_0032932,ISIC_0032866,0.1505,0.8481
ISIC_0031103,ISIC_0029608,0.1382,0.914
ISIC_0024402,ISIC_0026163,0.0093,0.8037
ISIC_0033565,ISIC_0032076,0.0313,0.8357
ISIC_0025596,ISIC_0031276,0.6201,0.9291
ISIC_0028885,ISIC_0024867,0.5692,0.8941
ISIC_0026068,ISIC_0026336,0.8494,0.9244
ISIC_0029099,ISIC_0024375,0.8534,0.9232
ISIC_0029889,ISIC_0032919,0.1627,0.9001
ISIC_0033158,ISIC_0033123,0.8555,0.8822
ISIC_0026456,ISIC_0030722,0.9188,0.7625
ISIC_0030770,ISIC_0032919,0.6034,0.892
ISIC_0033349,ISIC_0028188,0.3615,0.8519
ISIC_0032240,ISIC_0029889,0.3184,0.8708
ISIC_0030722,ISIC_0033254,0.6007,0.7964
ISIC_0026467,ISIC_0025425,0.414,0.8648
ISIC_0031270,ISIC_0031346,0.0781,0.8678
ISIC_0032932,ISIC_0032890,0.3465,0.8976
ISIC_0027665,ISIC_0026467,0.1655,0.8946
ISIC_0031648,ISIC_0033254,0.7081,0.8267
ISIC_0026467,ISIC_0031706,0.3172,0.8325
ISIC_0025425,ISIC_0024475,0.5938,0.8067
ISIC_0026092,ISIC_0031197,0.1437,0.8493
ISIC_0031706,ISIC_0030882,0.1729,0.8069
ISIC_0032692,ISIC_0026349,0.9918,0.8153
ISIC_0026349,ISIC_0032866,0.0166,0.8554
ISIC_0030722,ISIC_0032839,0.5846,0.7921
ISIC_0027672,ISIC_0027563,0.8973,0.8959
ISIC_0025249,ISIC_0025452,0.5362,0.8417
ISIC_0025628,ISIC_0025680,0.2732,0.9175
ISIC_0032076,ISIC_0027563,0.5946,0.8709
ISIC_0025452,ISIC_0025680,0.6636,0.9165
ISIC_0033844,ISIC_0024904,0.0182,0.8463
ISIC_0024706,ISIC_0031276,0.2313,0.8879
ISIC_0032890,ISIC_0032076,0.2537,0.8567
ISIC_0031215,ISIC_0025707,0.5535,0.8661
ISIC_0029889,ISIC_0027210,0.6776,0.92
ISIC_0029889,ISIC_0032919,0.5669,0.9001
ISIC_0026349,ISIC_0024662,0.9834,0.8275
ISIC_0025578,ISIC_0025924,0.5146,0.8242
ISIC_0033591,ISIC_0033450,0.796,0.8578
ISIC_0027522,ISIC_0024867,0.408,0.8782
ISIC_0033591,ISIC_0033450,0.8897,0.8578
ISIC_0031648,ISIC_0032692,0.6826,0.8419
ISIC_0028714,ISIC_0033817,0.9615,0.8809
ISIC_0026349,ISIC_0032866,0.1995,0.8554
ISIC_0033450,ISIC_0033969,0.9126,0.863
ISIC_0026163,ISIC_0033450,0.4698,0.839
ISIC_0033135,ISIC_0033349,0.8784,0.8755
ISIC_0031276,ISIC_0025680,0.517,0.9218
ISIC_0024904,ISIC_0032240,0.7311,0.842
ISIC_0029889,ISIC_0032919,0.5699,0.9001
ISIC_0028406,ISIC_0024867,0.904,0.9073
ISIC_0031955,ISIC_0024475,0.7981,0.7873
ISIC_0029448,ISIC_0025924,0.2044,0.8445
ISIC_0028188,ISIC_0032240,0.0231,0.8662
ISIC_0025873,ISIC_0024747,0.3771,0.8468
ISIC_0032715,ISIC_0032409,0.8876,0.8575
ISIC_0031270,ISIC_0031346,0.3191,0.8678
ISIC_0027385,ISIC_0032240,0.581,0.8169
ISIC_0027672,ISIC_0032076,0.6018,0.8699
ISIC_0030956,ISIC_0031346,0.4676,0.8606
ISIC_0024747,ISIC_0027672,0.3772,0.8895
ISIC_0027522,ISIC_0032240,0.1311,0.8793
ISIC_0027210,ISIC_0029889,0.6846,0.92
ISIC_0024662,ISIC_0027563,0.9549,0.8556
ISIC_0032076,ISIC_0027672,0.0989,0.8699
ISIC_0028714,ISIC_0032240,0.881,0.8665
ISIC_0027385,ISIC_0031270,0.2021,0.8423
ISIC_0033844,ISIC_0025321,0.522,0.8666
ISIC_0024706,ISIC_0031276,0.2594,0.8879
ISIC_0025425,ISIC_0026467,0.4815,0.8648
ISIC_0024904,ISIC_0028188,0.6525,0.8376
ISIC_0031706,ISIC_0027665,0.1107,0.8236
ISIC_0026092,ISIC_0024370,0.2948,0.8379
ISIC_0026713,ISIC_0032240,0.8767,0.8487
ISIC_0032545,ISIC_0033969,0.9846,0.8598
ISIC_0031197,ISIC_0031276,0.953,0.8663
ISIC_0031093,ISIC_0031346,0.1378,0.9186
ISIC_0033591,ISIC_0031759,0.5529,0.8552
ISIC_0028188,ISIC_0032545,0.8458,0.8932
ISIC_0032270,ISIC_0030956,0.5424,0.7968
ISIC_0029608,ISIC_0025628,0.2533,0.9226
ISIC_0028431,ISIC_0030882,0.8519,0.7949
ISIC_0027665,ISIC_0024475,0.7351,0.8264
ISIC_0032270,ISIC_0032076,0.3713,0.8174
ISIC_0032867,ISIC_0030770,0.76,0.8548
ISIC_0024402,ISIC_0029514,0.2068,0.8101
ISIC_0031103,ISIC_0026068,0.1207,0.8896
ISIC_0026092,ISIC_0032545,0.1004,0.8237
ISIC_0027672,ISIC_0024747,0.8465,0.8895
ISIC_0031215,ISIC_0024867,0.4136,0.8949
ISIC_0024747,ISIC_0028885,0.2453,0.8687
ISIC_0033135,ISIC_0033349,0.8513,0.8755
ISIC_0030882,ISIC_0028431,0.3393,0.7949
ISIC_0029889,ISIC_0033817,0.2484,0.9071
ISIC_0027210,ISIC_0033817,0.1613,0.9196
ISIC_0024475,ISIC_0031706,0.888,0.7963
ISIC_0024370,ISIC_0026349,0.5177,0.8426
ISIC_0026393,ISIC_0025628,0.5297,0.915
ISIC_0027672,ISIC_0032076,0.4346,0.8699
ISIC_0027522,ISIC_0033817,0.1257,0.8835
ISIC_0025707,ISIC_0030283,0.482,0.8542
ISIC_0032867,ISIC_0032919,0.1636,0.8342
ISIC_0027563,ISIC_0024867,0.2077,0.8886
ISIC_0025628,ISIC_0026068,0.0301,0.9241
ISIC_0027665,ISIC_0026467,0.9168,0.8946
ISIC_0024370,ISIC_0031197,0.6081,0.8541
ISIC_0024867,ISIC_0031215,0.4005,0.8949
ISIC_0029889,ISIC_0033817,0.1872,0.9071
ISIC_0032890,ISIC_0032076,0.8183,0.8567
ISIC_0032839,ISIC_0027672,0.4688,0.8617
ISIC_0032890,ISIC_0032839,0.9207,0.9009
ISIC_0031759,ISIC_0025321,0.0501,0.8913
ISIC_0033565,ISIC_0033254,0.7945,0.8338
ISIC_0031648,ISIC_0033254,0.7508,0.8267
ISIC_0031276,ISIC_0025628,0.212,0.9122
ISIC_0025873,ISIC_0024747,0.438,0.8468
ISIC_0026456,ISIC_0033991,0.0023,0.7608
ISIC_0030722,ISIC_0032839,0.2809,0.7921
