candidate,nn_distance,status,nearest_real_image_id
1879,0.6253,selected,ISIC_0032941
210,0.5526,selected,ISIC_0026629
587,0.6182,selected,ISIC_0033810
997,0.5588,selected,ISIC_0027216
800,0.6315,selected,ISIC_0032247
857,0.6032,selected,ISIC_0027216
238,0.5837,selected,ISIC_0028790
1894,0.5403,selected,ISIC_0029052
1363,0.5957,selected,ISIC_0025771
762,0.6707,selected,ISIC_0028790
1888,0.6352,selected,ISIC_0031257
726,0.6068,selected,ISIC_0033695
919,0.6092,selected,ISIC_0031344
1206,0.5335,selected,ISIC_0027216
1141,0.6664,selected,ISIC_0033005
508,0.5873,selected,ISIC_0031799
290,0.6449,selected,ISIC_0031257
709,0.6126,selected,ISIC_0031799
1658,0.6704,selected,ISIC_0030321
1754,0.5211,selected,ISIC_0027216
1616,0.6493,selected,ISIC_0033554
1837,0.6308,selected,ISIC_0031257
1469,0.4904,selected,ISIC_0031799
1993,0.6216,selected,ISIC_0033554
1098,0.6521,selected,ISIC_0025771
982,0.6281,selected,ISIC_0029130
823,0.6178,selected,ISIC_0025911
977,0.5691,selected,ISIC_0027216
36,0.5686,selected,ISIC_0033810
1055,0.6674,selected,ISIC_0033005
1783,0.6234,selected,ISIC_0032114
79,0.5978,selected,ISIC_0027216
1646,0.5391,selected,ISIC_0033810
1019,0.6552,selected,ISIC_0032941
1865,0.628,selected,ISIC_0027216
698,0.6372,selected,ISIC_0030021
328,0.6449,selected,ISIC_0028790
550,0.592,selected,ISIC_0030021
1702,0.5387,selected,ISIC_0027216
33,0.6432,selected,ISIC_0029052
538,0.5376,selected,ISIC_0028790
1555,0.6007,selected,ISIC_0033695
707,0.5721,selected,ISIC_0030870
1049,0.5432,selected,ISIC_0027216
85,0.5737,selected,ISIC_0025771
1932,0.6097,selected,ISIC_0033695
1704,0.6585,selected,ISIC_0028346
843,0.6335,selected,ISIC_0027216
1973,0.6054,selected,ISIC_0025911
1286,0.5869,selected,ISIC_0030021
1336,0.5991,selected,ISIC_0028790
227,0.5619,selected,ISIC_0027216
1210,0.6451,selected,ISIC_0033005
115,0.6193,selected,ISIC_0028790
1155,0.6723,selected,ISIC_0025154
1938,0.5672,selected,ISIC_0027216
1177,0.5875,selected,ISIC_0031257
633,0.667,selected,ISIC_0031257
106,0.6205,selected,ISIC_0027216
1553,0.6579,selected,ISIC_0033554
1939,0.5447,selected,ISIC_0027216
509,0.6348,selected,ISIC_0029052
1641,0.6721,selected,ISIC_0032941
321,0.5832,selected,ISIC_0033810
1911,0.6743,selected,ISIC_0031309
469,0.5522,selected,ISIC_0032941
1886,0.6016,selected,ISIC_0027216
1058,0.5228,selected,ISIC_0031257
1880,0.6308,selected,ISIC_0032941
1261,0.6142,selected,ISIC_0027216
1026,0.5738,selected,ISIC_0028790
363,0.6089,selected,ISIC_0027216
1453,0.6525,selected,ISIC_0025504
1052,0.6229,selected,ISIC_0030015
1342,0.5677,selected,ISIC_0033695
1796,0.5199,selected,ISIC_0027216
167,0.5738,selected,ISIC_0033554
583,0.6536,selected,ISIC_0034169
1958,0.6424,selected,ISIC_0033810
1009,0.6342,selected,ISIC_0030021
1923,0.6662,selected,ISIC_0029130
948,0.5304,selected,ISIC_0028790
1552,0.548,selected,ISIC_0030015
137,0.6497,selected,ISIC_0030021
1757,0.6028,selected,ISIC_0027216
866,0.5746,selected,ISIC_0027216
671,0.4953,selected,ISIC_0027216
272,0.6521,selected,ISIC_0032114
1093,0.6488,selected,ISIC_0033005
687,0.6616,selected,ISIC_0027216
1676,0.6163,selected,ISIC_0028790
1165,0.5565,selected,ISIC_0030870
1426,0.6756,selected,ISIC_0033005
1526,0.6499,selected,ISIC_0030870
1669,0.6259,selected,ISIC_0026254
1850,0.5644,selected,ISIC_0027216
734,0.5263,selected,ISIC_0030870
419,0.5241,selected,ISIC_0027216
424,0.6007,selected,ISIC_0033005
1379,0.6078,selected,ISIC_0033005
155,0.6061,selected,ISIC_0032941
291,0.5617,selected,ISIC_0027216
1931,0.5997,selected,ISIC_0027216
1114,0.5001,selected,ISIC_0031257
163,0.5251,selected,ISIC_0027216
1315,0.5603,selected,ISIC_0033810
325,0.6641,selected,ISIC_0025771
683,0.66,selected,ISIC_0025911
578,0.6669,selected,ISIC_0033554
848,0.6058,selected,ISIC_0027118
51,0.575,selected,ISIC_0027216
109,0.5253,selected,ISIC_0025911
691,0.5624,selected,ISIC_0032941
10,0.6107,selected,ISIC_0025911
1818,0.5098,selected,ISIC_0027216
1157,0.6398,selected,ISIC_0031257
1721,0.5769,selected,ISIC_0027216
285,0.6321,selected,ISIC_0025314
1852,0.4932,selected,ISIC_0027216
1716,0.548,selected,ISIC_0027216
547,0.5816,selected,ISIC_0029130
1310,0.6089,selected,ISIC_0031799
1197,0.5552,selected,ISIC_0030021
1800,0.6131,selected,ISIC_0032114
643,0.6627,selected,ISIC_0031799
1038,0.4756,selected,ISIC_0027216
715,0.5631,selected,ISIC_0027216
1854,0.5588,selected,ISIC_0033554
138,0.6553,selected,ISIC_0029130
1811,0.623,selected,ISIC_0028790
1163,0.5331,selected,ISIC_0031257
634,0.5157,selected,ISIC_0027216
429,0.6554,selected,ISIC_0025911
1642,0.6298,selected,ISIC_0033554
1471,0.5414,selected,ISIC_0028790
496,0.6683,selected,ISIC_0027216
39,0.6498,selected,ISIC_0027216
1765,0.56,selected,ISIC_0029130
724,0.5969,selected,ISIC_0033554
630,0.5613,selected,ISIC_0027216
561,0.6482,selected,ISIC_0029177
793,0.6312,selected,ISIC_0034169
406,0.5821,selected,ISIC_0027216
924,0.6397,selected,ISIC_0033005
1357,0.5427,selected,ISIC_0028790
1892,0.6497,selected,ISIC_0025622
1186,0.631,selected,ISIC_0033554
231,0.6053,selected,ISIC_0033554
1895,0.6714,selected,ISIC_0032247
812,0.6397,selected,ISIC_0029130
1918,0.5445,selected,ISIC_0027216
527,0.6133,selected,ISIC_0031257
1230,0.6599,selected,ISIC_0028735
1611,0.6023,selected,ISIC_0031257
673,0.6238,selected,ISIC_0033695
792,0.5921,selected,ISIC_0034169
1643,0.5631,selected,ISIC_0033810
1282,0.5545,selected,ISIC_0030870
1996,0.642,selected,ISIC_0032114
580,0.5882,selected,ISIC_0027216
1838,0.4758,selected,ISIC_0027598
980,0.5974,selected,ISIC_0033810
252,0.6626,selected,ISIC_0028346
59,0.6035,selected,ISIC_0028790
1235,0.6419,selected,ISIC_0027216
57,0.5531,selected,ISIC_0031257
824,0.5645,selected,ISIC_0031257
817,0.6513,selected,ISIC_0033554
15,0.539,selected,ISIC_0031257
460,0.6171,selected,ISIC_0033810
1738,0.5612,selected,ISIC_0027216
187,0.614,selected,ISIC_0033810
492,0.6072,selected,ISIC_0033554
125,0.5719,selected,ISIC_0027216
766,0.6738,selected,ISIC_0029130
1826,0.5627,selected,ISIC_0030021
1000,0.6261,selected,ISIC_0026473
911,0.5837,selected,ISIC_0027216
1767,0.652,selected,ISIC_0031257
964,0.5076,selected,ISIC_0027216
861,0.6672,selected,ISIC_0025911
1258,0.5538,selected,ISIC_0030870
1803,0.5295,selected,ISIC_0025771
938,0.5674,selected,ISIC_0032941
1759,0.6309,selected,ISIC_0028790
1618,0.5577,selected,ISIC_0027216
1564,0.6178,selected,ISIC_0033810
545,0.4979,selected,ISIC_0030870
628,0.6198,selected,ISIC_0031257
1182,0.617,selected,ISIC_0027216
258,0.654,selected,ISIC_0030830
873,0.5114,selected,ISIC_0027216
495,0.5159,selected,ISIC_0025314
379,0.5493,selected,ISIC_0027216
1410,0.6579,selected,ISIC_0033810
1095,0.6128,selected,ISIC_0027216
789,0.6277,selected,ISIC_0028735
193,0.5207,selected,ISIC_0027216
745,0.6252,selected,ISIC_0030021
1066,0.6492,selected,ISIC_0033554
48,0.628,selected,ISIC_0025911
1479,0.6674,selected,ISIC_0027216
351,0.5452,selected,ISIC_0033810
1768,0.5564,selected,ISIC_0027216
1406,0.5362,selected,ISIC_0027216
1781,0.5608,selected,ISIC_0027216
1674,0.5369,selected,ISIC_0031799
1750,0.59,selected,ISIC_0032941
1087,0.5721,selected,ISIC_0031257
1528,0.5562,selected,ISIC_0030321
1592,0.6578,selected,ISIC_0032941
1686,0.6393,selected,ISIC_0030021
1470,0.5235,selected,ISIC_0030870
1846,0.5976,selected,ISIC_0027216
1745,0.5587,selected,ISIC_0028790
1779,0.5587,selected,ISIC_0027216
986,0.6283,selected,ISIC_0030021
1424,0.5439,selected,ISIC_0027216
1742,0.6745,selected,ISIC_0033554
1490,0.6297,selected,ISIC_0031257
1125,0.6109,selected,ISIC_0027216
374,0.6318,selected,ISIC_0029297
1189,0.517,selected,ISIC_0025594
1815,0.6541,selected,ISIC_0033695
305,0.5865,selected,ISIC_0033554
421,0.6451,selected,ISIC_0032941
1110,0.5478,selected,ISIC_0027216
611,0.6405,selected,ISIC_0032941
487,0.5869,selected,ISIC_0032941
1625,0.5687,selected,ISIC_0031799
553,0.6271,selected,ISIC_0027216
1289,0.5081,selected,ISIC_0027216
32,0.5778,selected,ISIC_0027216
596,0.644,selected,ISIC_0030021
855,0.6202,selected,ISIC_0032941
1313,0.6133,selected,ISIC_0027216
1953,0.5995,selected,ISIC_0032941
1304,0.6118,selected,ISIC_0028346
1467,0.6527,selected,ISIC_0032941
1170,0.5754,selected,ISIC_0027216
154,0.6565,selected,ISIC_0027216
1697,0.6104,selected,ISIC_0029297
1104,0.5127,selected,ISIC_0027216
1011,0.6419,selected,ISIC_0029297
1717,0.6603,selected,ISIC_0031257
1319,0.671,selected,ISIC_0031002
1876,0.5719,selected,ISIC_0028790
276,0.6198,selected,ISIC_0030021
1739,0.6479,selected,ISIC_0025911
361,0.5524,selected,ISIC_0033810
473,0.6056,selected,ISIC_0033005
640,0.5952,selected,ISIC_0027216
1864,0.6267,selected,ISIC_0029297
713,0.6307,selected,ISIC_0030021
1997,0.5572,selected,ISIC_0030870
244,0.619,selected,ISIC_0032941
27,0.4756,selected,ISIC_0027216
983,0.5613,selected,ISIC_0032941
1118,0.5398,selected,ISIC_0027216
278,0.6084,selected,ISIC_0034169
1596,0.6087,selected,ISIC_0033695
1020,0.597,selected,ISIC_0028790
294,0.6731,selected,ISIC_0030021
1290,0.6467,selected,ISIC_0032941
669,0.5872,selected,ISIC_0025911
1217,0.5887,selected,ISIC_0028790
1908,0.5271,selected,ISIC_0027216
256,0.6362,selected,ISIC_0031257
828,0.5825,selected,ISIC_0030021
612,0.5653,selected,ISIC_0027216
46,0.6428,selected,ISIC_0031257
1514,0.6076,selected,ISIC_0031002
449,0.6259,selected,ISIC_0028790
965,0.583,selected,ISIC_0027216
862,0.6468,selected,ISIC_0027216
518,0.6561,selected,ISIC_0025504
241,0.6635,selected,ISIC_0027118
658,0.613,selected,ISIC_0029052
81,0.5117,selected,ISIC_0027216
1263,0.5719,selected,ISIC_0031257
1916,0.6226,selected,ISIC_0033005
418,0.5839,selected,ISIC_0027216
1871,0.6254,selected,ISIC_0033554
1681,0.6011,selected,ISIC_0031799
86,0.6041,selected,ISIC_0030021
963,0.6542,selected,ISIC_0032941
1487,0.5601,selected,ISIC_0031257
1860,0.5019,selected,ISIC_0027216
1458,0.5566,selected,ISIC_0027216
479,0.5867,selected,ISIC_0033810
799,0.6149,selected,ISIC_0025911
1515,0.6021,selected,ISIC_0033810
1956,0.6729,selected,ISIC_0027216
64,0.6384,selected,ISIC_0033810
1478,0.591,selected,ISIC_0030015
959,0.6142,selected,ISIC_0025373
1172,0.5425,selected,ISIC_0031257
160,0.6339,selected,ISIC_0031799
1689,0.5436,selected,ISIC_0033554
309,0.6327,selected,ISIC_0030870
425,0.6359,selected,ISIC_0028790
813,0.6171,selected,ISIC_0027216
1733,0.6561,selected,ISIC_0028346
854,0.6253,selected,ISIC_0027216
525,0.6233,selected,ISIC_0026473
1008,0.6433,selected,ISIC_0032114
1432,0.6666,selected,ISIC_0034169
251,0.5666,selected,ISIC_0026629
1785,0.6457,selected,ISIC_0028790
1799,0.6609,selected,ISIC_0030870
228,0.6531,selected,ISIC_0026473
570,0.6013,selected,ISIC_0033554
442,0.6794,selected,ISIC_0027188
520,0.6031,selected,ISIC_0033810
1594,0.6179,selected,ISIC_0030021
90,0.5823,selected,ISIC_0033810
292,0.6035,selected,ISIC_0033554
874,0.6719,selected,ISIC_0027216
985,0.5987,selected,ISIC_0033810
1384,0.6784,selected,ISIC_0032138
743,0.5459,selected,ISIC_0027216
689,0.5239,selected,ISIC_0031257
785,0.6244,selected,ISIC_0031257
594,0.5557,selected,ISIC_0027216
501,0.6762,selected,ISIC_0026473
663,0.6487,selected,ISIC_0032941
1434,0.5898,selected,ISIC_0032941
1764,0.5642,selected,ISIC_0027216
1675,0.5233,selected,ISIC_0025771
1715,0.5069,selected,ISIC_0027216
993,0.6423,selected,ISIC_0027216
946,0.6176,selected,ISIC_0031257
1184,0.6259,selected,ISIC_0033810
254,0.6695,selected,ISIC_0029130
1945,0.5577,selected,ISIC_0027216
437,0.6591,selected,ISIC_0027216
623,0.5609,selected,ISIC_0033554
1101,0.5418,selected,ISIC_0031257
1839,0.6679,selected,ISIC_0033005
1806,0.5942,selected,ISIC_0030830
1557,0.6344,selected,ISIC_0033695
208,0.6587,selected,ISIC_0027216
585,0.6669,selected,ISIC_0025911
769,0.6127,selected,ISIC_0027118
1538,0.6388,selected,ISIC_0033554
1219,0.5933,selected,ISIC_0025911
1127,0.5496,selected,ISIC_0032941
1631,0.5449,selected,ISIC_0030021
1749,0.604,selected,ISIC_0033891
1253,0.5512,selected,ISIC_0033554
1701,0.5057,selected,ISIC_0027216
1543,0.6627,selected,ISIC_0025622
1068,0.6191,selected,ISIC_0033810
704,0.608,selected,ISIC_0027188
976,0.5481,selected,ISIC_0031257
1214,0.5641,selected,ISIC_0031799
878,0.6454,selected,ISIC_0025771
417,0.5577,selected,ISIC_0028790
122,0.6225,selected,ISIC_0032941
67,0.6735,selected,ISIC_0033695
661,0.5693,selected,ISIC_0031257
1166,0.6556,selected,ISIC_0027216
1441,0.5886,selected,ISIC_0033695
1012,0.6756,selected,ISIC_0025154
1740,0.6698,selected,ISIC_0032138
666,0.5778,selected,ISIC_0025911
320,0.6579,selected,ISIC_0027216
834,0.6113,selected,ISIC_0030021
1915,0.5317,selected,ISIC_0027216
1595,0.5853,selected,ISIC_0032941
104,0.6437,selected,ISIC_0034169
1920,0.5942,selected,ISIC_0032114
356,0.6627,selected,ISIC_0030021
427,0.5334,selected,ISIC_0027216
1119,0.6452,selected,ISIC_0033005
1174,0.6555,selected,ISIC_0025911
1138,0.6044,selected,ISIC_0033695
1572,0.5086,selected,ISIC_0027216
1724,0.5731,selected,ISIC_0030870
287,0.6672,selected,ISIC_0027216
1381,0.5546,selected,ISIC_0031257
1661,0.6788,selected,ISIC_0025911
274,0.6391,selected,ISIC_0031257
1960,0.5718,selected,ISIC_0032941
364,0.583,selected,ISIC_0030021
324,0.586,selected,ISIC_0031799
213,0.605,selected,ISIC_0028790
1063,0.5882,selected,ISIC_0033810
54,0.6425,selected,ISIC_0028926
132,0.6628,selected,ISIC_0028790
991,0.6746,selected,ISIC_0032114
505,0.6335,selected,ISIC_0027216
1183,0.6586,selected,ISIC_0033554
458,0.6712,selected,ISIC_0029130
1435,0.6024,selected,ISIC_0031257
216,0.6727,selected,ISIC_0025504
407,0.6736,selected,ISIC_0030830
771,0.6082,selected,ISIC_0027216
